id,question,option_A,option_B,option_C,option_D,correct_answer
1,文書處理過程中均應使用公文夾，並以公文夾顏色作為機關內部處理速度之辨識。下列關於 公文夾的使用情形，敘述正確的是,速件用紅色,特急件用綠色,機密件用藍色或特製之 密件袋,為節省遞送人力，應以多文一夾為原則。,B
2,下列「署名下敬詞」，皆是用於平輩的是,手諭、手書、手示,草、手草、手字,謹 啟、敬啟、鞠躬,謹上、拜上、肅上。,C
3,下列「」內的字，讀音完全相同的是：,夢「魘」／笑「靨」,「紕」漏／如喪考「妣」,「稗」官／「裨」補缺漏,「塑」膠／追本「溯」源。,D
4,下列文句，完全沒有錯別字的是：,許多市政建設淪為蚊子館，很大的原因在於人謀不彰,藝人的私生活或病況消息，往往不脛而走，鬧得滿城風雨,如果不努力，終將庸碌過一生， 永遠沒有出人投地的一天,他早些年並不富有，但靠著艱忍不拔的意志，最後總算一舉成名。,B
5,下列敘述，符合「墨家」思想的是,園哥：大家都要學會自我約束，所以不用訂定規矩， 你們開心，我也開心,阿桃姐：大家要互信互愛，不分等級，但嚴正反對暴力，也不要浪費公 共事物,劉小豐：規則要訂得清楚，長官要有威嚴，讓員工畏懼三分，公司秩序才能良好,張小政：應該建立一套倫理秩序，老闆有老闆的樣子，員工有員工的樣子，各個幹部都要各司其 職。,B
6,關於下文的解讀，敘述適當的是： 小國寡民，使有什伯之器而不用。使民重死而不遠徙，雖有舟輿，無所乘之；雖有甲兵，無 所陳之。使民復結繩而用之。甘其食，美其服，安其居，樂其俗。鄰國相望，雞犬之聲相聞， 民至老死不相往來。（《老子》）,本文是儒家思想的代表作品,文中的「甘、美、安、樂」都是使動用法,文中人民只須繳 納些許穀物，不必背負重稅,作者憧憬的世界是絕聖棄智，人民愛惜生命，不輕易冒險遷移。,D
8,中央大學致函至教育部辦理補助款項核銷作業，應使用的期望語是,請 查照,希 查照,請 鑒核,請 查明見復。,C
9,公文訂有辦理或復文期限者，應在哪個部分敘明：,主旨段,擬辦段,說明段,公 告段。,A
10,閱讀下文，選出敘述正確的選項： 喝茶當於瓦屋紙窗之下，清泉綠茶，用素雅的陶瓷茶具，同二三人共飲，得半日之閒，可抵 十年的塵夢。喝茶之後，再去繼續修各人的勝業，無論為名為利，都無不可，但偶然的片刻優遊 乃斷不可少，中國喝茶時多吃瓜子，我覺得不很適宜，喝茶時所吃的東西應當是輕淡的「茶食」。 中國的茶食卻變了「滿漢餑餑」，其性質與「阿阿兜」相差無幾；不是喝茶時所吃的東西了。日 本的點心雖是豆米的成品，但那優雅的形色，相素的味道，很合於茶食的資格，如各色「羊羹」 (據上田恭輔氏考據，說是出於中國唐時的羊肝餅)，尤有特殊的風味。江南茶館中有一種「乾絲」， 用豆腐乾切成細絲，加薑絲醬油，重湯燉熱，上澆麻油，出以供客，其利益為「堂館」所獨有。 豆腐乾中本有一種「茶干」，今變而為絲，亦頗與茶相宜。(周作人〈喝茶〉),喝茶地點與器具不必特別講究，忙裡偷閒才是趣味,商業交流時的品茶，有助於名利雙收,清淡茶食與喝茶密不可分，中國許多茶食卻不適合,江南的干絲比日本的豆米成品更適宜 佐茶。,C
11,桃園市政府對桃園大眾捷運公司之決定表示同意時，可使用哪一個用語：,准予照辦,敬表同意,未便照准,同意照辦。,A
